1B,1M,1A,10B,10M,10A,11B,11M,11A,13B,13M,13A,18B,18M,18A,19B,19M,19A,20B,20M,20A,PCI,Classe
0.000,0.000,0.258,0.000,0.000,0.814,0.002,0.000,0.000,0.200,0.100,0.100,0.000,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.835,0.021,Péssimo
0.000,0.013,0.019,0.000,0.275,0.300,0.000,0.009,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.807,0.116,Péssimo
0.000,0.022,0.038,0.009,0.754,0.278,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.835,0.063,Péssimo
0.000,0.000,0.000,0.019,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.804,0.000,0.876,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.480,0.290,0.000,0.930,Excelente
0.000,0.000,0.000,0.075,0.114,0.131,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.461,0.000,0.000,0.297,Muito Ruim
0.000,0.000,0.000,0.502,0.178,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.316,0.000,0.000,0.582,0.000,0.007,0.595,Regular
0.000,0.000,0.000,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.730,0.000,0.003,0.876,Excelente
0.000,0.000,0.000,0.283,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.225,0.000,0.000,0.682,0.000,0.000,0.857,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,0.000,0.000,0.979,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.449,0.000,0.526,0.687,Regular
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.793,0.165,0.013,0.901,Excelente
0.000,0.000,0.000,0.208,0.286,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.678,0.000,0.273,0.648,Regular
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.694,0.095,0.822,Satisfatório
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.000,0.010,0.000,0.558,0.088,0.779,Satisfatório
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.459,0.004,0.876,Excelente
0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.870,0.033,0.527,Ruim
0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.773,0.132,0.816,Satisfatório
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.853,0.050,0.527,Ruim
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,0.031,0.878,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,0.032,0.857,Excelente
0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.906,0.069,0.875,Excelente
0.134,0.000,0.000,0.197,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.938,0.012,0.559,Regular
0.000,0.000,0.127,0.012,0.097,0.270,0.000,0.000,0.094,0.500,0.400,0.100,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.638,0.023,Péssimo
0.000,0.000,0.017,0.000,0.000,0.239,0.000,0.000,0.096,1.000,0.332,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.428,0.032,Péssimo
0.000,0.000,0.045,0.095,0.000,0.000,0.000,0.000,0.148,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,Péssimo
0.005,0.092,0.000,0.191,0.066,0.000,0.000,0.000,0.088,0.200,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.000,0.028,Péssimo
0.000,0.029,0.009,0.128,0.000,0.000,0.014,0.150,0.056,0.200,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.262,0.033,0.041,Péssimo
0.001,0.267,0.000,0.031,0.064,0.254,0.000,0.005,0.022,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.660,0.065,Péssimo
0.006,0.000,0.000,0.011,0.131,0.254,0.000,0.000,0.150,1.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.358,0.000,Péssimo
0.017,0.009,0.007,0.000,0.076,0.116,0.000,0.018,0.014,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.073,Péssimo
0.020,0.000,0.000,0.271,0.000,0.000,0.000,0.024,0.026,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.270,Muito Ruim
0.009,0.017,0.000,0.000,0.247,0.000,0.001,0.020,0.048,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.056,0.134,Péssimo
0.000,0.049,0.000,0.000,0.130,0.000,0.007,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.758,0.000,0.535,Ruim
0.003,0.011,0.000,0.087,0.111,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.000,0.669,Regular
0.162,0.000,0.000,0.122,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.842,0.000,0.000,0.582,Regular
0.079,0.008,0.020,0.000,0.018,0.000,0.024,0.008,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.451,0.000,0.448,0.232,Péssimo
0.017,0.097,0.019,0.009,0.116,0.021,0.000,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.673,0.076,0.261,Muito Ruim
0.009,0.096,0.018,0.014,0.205,0.010,0.000,0.000,0.022,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.000,0.154,Péssimo
0.004,0.319,0.083,0.039,0.248,0.000,0.000,0.001,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.817,0.000,0.116,Péssimo
0.007,0.146,0.004,0.024,0.199,0.152,0.000,0.000,0.063,0.400,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.531,0.308,0.077,Péssimo
0.000,0.053,0.037,0.000,0.000,0.255,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.014,0.000,0.508,0.000,0.000,0.000,0.346,0.000,0.234,Péssimo
0.000,0.000,0.236,0.000,0.038,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.000,0.000,0.081,0.000,0.186,Péssimo
0.000,0.245,0.042,0.025,0.068,0.180,0.047,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.309,0.000,0.154,Péssimo
0.000,0.000,0.182,0.000,0.062,0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.366,0.000,0.218,Péssimo
0.000,0.000,0.136,0.000,0.000,0.067,0.000,0.013,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.000,0.000,0.830,0.000,0.202,Péssimo
0.000,0.163,0.065,0.166,0.121,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.380,0.000,0.206,Péssimo
0.000,0.000,0.039,0.000,0.000,0.064,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.476,0.000,0.000,0.000,0.422,0.000,0.435,Ruim
0.000,0.135,0.000,0.000,0.000,0.122,0.000,0.045,0.003,0.000,0.100,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.634,0.174,Péssimo
0.000,0.039,0.000,0.000,0.034,0.485,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.428,0.192,Péssimo
0.000,0.036,0.067,0.000,0.027,0.189,0.000,0.073,0.007,0.000,0.100,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.497,0.069,Péssimo
