1B,1M,1A,10B,10M,10A,11B,11M,11A,13B,13M,13A,18B,18M,18A,19B,19M,19A,20B,20M,20A,VDM,Classe
0.023,0.000,0.000,0.015,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.711,0.182,0.000,220,Satisfatorio
0.035,0.000,0.000,0.033,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.919,0.000,0.000,220,Satisfatorio
0.006,0.005,0.000,0.108,0.140,0.107,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.272,0.508,0.093,220,Ruim
0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.705,0.189,0.000,220,Excelente
0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.889,0.036,0.000,220,Ruim
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.821,0.106,0.000,2820,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.897,0.027,0.002,2820,Excelente
0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.012,2820,Excelente
0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.891,0.014,0.000,2820,Excelente
0.000,0.011,0.004,0.010,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.720,0.196,0.000,2600,Regular
0.000,0.003,0.000,0.070,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.141,0.042,2600,Satisfatorio
0.001,0.046,0.008,0.030,0.045,0.169,0.000,0.021,0.026,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.159,0.444,0.100,2600,Pessimo
0.002,0.137,0.152,0.000,0.000,0.000,0.000,0.027,0.013,0.800,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.553,2600,Pessimo
0.000,0.052,0.099,0.000,0.077,0.191,0.038,0.008,0.003,0.200,0.100,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.602,2600,Pessimo
0.009,0.062,0.000,0.113,0.337,0.096,0.000,0.015,0.020,0.400,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.496,0.036,2600,Pessimo
0.001,0.139,0.000,0.018,0.393,0.084,0.000,0.054,0.018,0.100,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.027,0.000,0.569,0.000,2600,Pessimo
